model,fold,auc,ap,p_at_10,r_at_10,seconds,best_iteration,n_features,checkpoint,run
logreg,0,0.9842977957165274,0.9190280397754178,0.9112605042016808,0.7187644992377543,38.4,,127,logreg_fold0.joblib,kaggle
lgbm,0,0.9854415435483004,0.9254235881010736,0.9152100840336136,0.7218797640352621,22.7,67.0,127,lgbm_fold0.txt,kaggle
catboost,0,0.9852135841662942,0.9252628405919124,0.9139495798319328,0.720885530589249,11.0,245.0,127,catboost_fold0.cbm,kaggle
logreg,1,0.9834530320058832,0.9159634980963768,0.9063865546218488,0.7149201299131703,36.2,,127,logreg_fold1.joblib,kaggle
lgbm,1,0.9844882124119066,0.922089923870618,0.91109243697479,0.7186319347782859,30.0,156.0,127,lgbm_fold1.txt,kaggle
catboost,1,0.984079231414653,0.92135761233047,0.9098319327731093,0.7176377013322728,14.3,529.0,127,catboost_fold1.cbm,kaggle
logreg,2,0.9835494927970408,0.9164803757456932,0.907563025210084,0.7158480811294492,34.9,,127,logreg_fold2.joblib,kaggle
lgbm,2,0.9849248345526485,0.9235563275514114,0.9126050420168068,0.7198250149135017,25.3,107.0,127,lgbm_fold2.txt,kaggle
catboost,2,0.9846772334636352,0.9230466072764304,0.9125210084033614,0.7197587326837674,10.5,300.0,127,catboost_fold2.cbm,kaggle
logreg,3,0.9837886919581904,0.917541804031942,0.9125210084033614,0.7197587326837674,39.8,,127,logreg_fold3.joblib,kaggle
lgbm,3,0.984835689409127,0.9233490426707112,0.9159663865546218,0.72247630410287,20.1,39.0,127,lgbm_fold3.txt,kaggle
catboost,3,0.9846816519387576,0.9232212167569592,0.9155462184873948,0.7221448929541989,10.8,292.0,127,catboost_fold3.cbm,kaggle
logreg,4,0.9840920020643458,0.9183818649885848,0.9099159663865546,0.717703983562007,38.1,,127,logreg_fold4.joblib,kaggle
lgbm,4,0.9853867294525668,0.9253437776532996,0.9121848739495798,0.7194936037648306,21.8,57.0,127,lgbm_fold4.txt,kaggle
catboost,4,0.9852229403367998,0.9251056609404628,0.913781512605042,0.7207529661297806,9.9,254.0,127,catboost_fold4.cbm,kaggle
rf,0,0.9851475825961604,0.9247139706979712,0.9150420168067228,0.7217471995757937,171.0,,127,,local_rf
rf,1,0.9841792135270048,0.9214408349780906,0.9123529411764706,0.719626168224299,137.7,,127,,local_rf
rf,2,0.9846048331735382,0.9229271311715546,0.9134453781512604,0.7204878372108438,134.1,,127,,local_rf
rf,3,0.9845743462054856,0.9228934503282958,0.9159663865546218,0.72247630410287,133.5,,127,,local_rf
rf,4,0.985061724678212,0.9247258349936808,0.914033613445378,0.7209518128189832,151.5,,127,,local_rf
moe,0,0.984630380213688,0.9222280379294868,0.9061344537815126,0.7147212832239677,56.3,7.0,127,moe_fold0.pt,moe
moe,1,0.9837272989462722,0.9202148841004376,0.9067226890756304,0.7151852588321072,48.5,6.0,127,moe_fold1.pt,moe
moe,2,0.984161880883076,0.9217962125566668,0.9093277310924368,0.7172400079538676,78.8,12.0,127,moe_fold2.pt,moe
moe,3,0.9836612769645314,0.9196841573543332,0.913529411764706,0.720554119440578,37.0,4.0,127,moe_fold3.pt,moe
moe,4,0.9845979720030964,0.922494261343199,0.911596638655462,0.7190296281566911,57.3,8.0,127,moe_fold4.pt,moe
