model,fold,auc,ap,p_at_10,r_at_10,seconds,best_iteration,n_features,checkpoint
logreg,0,0.9842977957165274,0.9190280397754178,0.9112605042016807,0.7187644992377543,38.4,,127,logreg_fold0.joblib
lgbm,0,0.9854415435483004,0.9254235881010737,0.9152100840336135,0.7218797640352621,22.7,67.0,127,lgbm_fold0.txt
catboost,0,0.9852135841662942,0.9252628405919123,0.9139495798319328,0.720885530589249,11.0,245.0,127,catboost_fold0.cbm
logreg,1,0.9834530320058832,0.9159634980963767,0.9063865546218487,0.7149201299131703,36.2,,127,logreg_fold1.joblib
lgbm,1,0.9844882124119066,0.9220899238706181,0.9110924369747899,0.7186319347782859,30.0,156.0,127,lgbm_fold1.txt
catboost,1,0.984079231414653,0.9213576123304701,0.9098319327731093,0.7176377013322728,14.3,529.0,127,catboost_fold1.cbm
logreg,2,0.9835494927970407,0.9164803757456932,0.907563025210084,0.7158480811294492,34.9,,127,logreg_fold2.joblib
lgbm,2,0.9849248345526485,0.9235563275514114,0.9126050420168067,0.7198250149135017,25.3,107.0,127,lgbm_fold2.txt
catboost,2,0.9846772334636353,0.9230466072764305,0.9125210084033614,0.7197587326837674,10.5,300.0,127,catboost_fold2.cbm
logreg,3,0.9837886919581904,0.9175418040319421,0.9125210084033614,0.7197587326837674,39.8,,127,logreg_fold3.joblib
lgbm,3,0.984835689409127,0.9233490426707112,0.9159663865546218,0.72247630410287,20.1,39.0,127,lgbm_fold3.txt
catboost,3,0.9846816519387575,0.9232212167569591,0.9155462184873949,0.7221448929541989,10.8,292.0,127,catboost_fold3.cbm
logreg,4,0.9840920020643458,0.9183818649885848,0.9099159663865546,0.717703983562007,38.1,,127,logreg_fold4.joblib
lgbm,4,0.9853867294525667,0.9253437776532997,0.9121848739495798,0.7194936037648306,21.8,57.0,127,lgbm_fold4.txt
catboost,4,0.9852229403367998,0.9251056609404629,0.913781512605042,0.7207529661297806,9.9,254.0,127,catboost_fold4.cbm
